ExitDistance,HasSupply,HasEnemy,ClosestEnemy,ClosestEnemyToSupply,Utility,Action
7,Yes,No,1000,1000,59,GetFood
7,Yes,No,1000,1000,59,GetFood
6,Yes,No,1000,1000,60,GetFood
5,Yes,No,1000,1000,61,GetFood
4,Yes,No,1000,1000,52,GetFood
3,Yes,No,1000,1000,51,GetFood
2,Yes,No,1000,1000,50,GetFood
2,Yes,No,1000,1000,50,GetFood
1,Yes,No,1000,1000,49,GetFood
0,Yes,No,1000,1000,48,GetFood
0,Yes,No,1000,1000,48,GetFood
1,Yes,No,1000,1000,29,GetFood
1,Yes,No,1000,1000,29,GetFood
1,Yes,No,1000,1000,29,GetFood
2,Yes,No,1000,1000,30,GetFood
3,Yes,No,1000,1000,11,GetFood
3,Yes,No,1000,1000,11,GetFood
3,Yes,No,1000,1000,11,GetFood
4,Yes,No,1000,1000,2,GetFood
5,Yes,No,1000,1000,3,GetFood
6,No,No,1000,1000,-6,GetExit
5,No,No,1000,1000,-5,GetExit
4,No,No,1000,1000,-4,GetExit
3,No,No,1000,1000,-3,GetExit
3,No,No,1000,1000,-3,GetExit
3,No,No,1000,1000,-3,GetExit
2,No,No,1000,1000,-2,GetExit
1,No,No,1000,1000,-1,GetExit
0,No,No,1000,1000,0,GetExit
0,No,No,1000,1000,0,GetExit
0,No,No,1000,1000,0,GetExit
7,Yes,Yes,6,5,13,GetFood
6,Yes,Yes,5,5,14,GetFood
6,Yes,Yes,4.426037,0.4260371,4,GetFood
5,Yes,Yes,3,0,5,GetFood
4,Yes,Yes,2,0,6,GetFood
3,Yes,Yes,1,0,7,GetFood
2,Yes,Yes,0.6277306,0.6277306,8,GetFood
2,Yes,Yes,1,1,8,GetFood
2,Yes,Yes,1,1,8,GetFood
2,No,Yes,1,1000,-2,GetExit
2,No,Yes,0.3331432,1000,-2,GetExit
1,No,Yes,1,1000,-1,GetExit
0,No,Yes,2,1000,0,GetExit
0,No,Yes,2,1000,0,GetExit
7,Yes,Yes,3,1,91,GetFood
6,Yes,Yes,2,1,92,GetFood
5,Yes,Yes,0.3556023,1.644398,93,GetFood
4,Yes,Yes,1,2,94,GetFood
3,Yes,Yes,2,2,95,GetFood
2,Yes,Yes,3,3,96,GetFood
2,Yes,Yes,2.345096,2.345096,96,GetFood
2,Yes,Yes,2,2,96,GetFood
2,Yes,Yes,2,2,76,GetFood
2,Yes,Yes,2,2,56,GetFood
2,Yes,Yes,2,2,56,GetFood
1,Yes,Yes,3,3,55,GetFood
1,Yes,Yes,3,2,35,GetFood
